"db","modifier","outcome","method","n","events_trt","events_ctl","interaction_or","or_ci_lo","or_ci_hi","or_p","interaction_rd","rd_ci_lo","rd_ci_hi","rd_p"
"IUH","eGFR_per_30","aki1_48h","psm_hc1",1235,293,301,0.533167834213115,0.409473975068353,0.694227122473537,3.01341543623034e-06,-0.106750973269797,-0.152231374879274,-0.0612705716603186,4.42832721152994e-06
"IUH","eGFR_per_30","aki2_48h","psm_hc1",1235,46,49,0.831285739998652,0.471921072444134,1.46430414294948,0.522369502542802,-0.00636098663333308,-0.0283646960599219,0.0156427227932558,0.571030372672228
"IUH","eGFR_per_30","aki3_48h","psm_hc1",1235,11,27,0.150565921186645,0.0322508972758992,0.702929175236438,0.0160232171011549,-0.0176902807374377,-0.0355801314045747,0.000199569929699266,0.0527207276977784
"IUH","eGFR_per_30","aki1_7d","psm_hc1",1069,288,295,0.552415284689759,0.419656932325892,0.727171704438539,2.31795253721147e-05,-0.111547663765484,-0.163470400295175,-0.0596249272357937,2.65097992932611e-05
"IUH","eGFR_per_30","aki2_7d","psm_hc1",1069,68,67,0.887406607314997,0.548213001213206,1.43646809718774,0.626894789069028,-0.00761871359387142,-0.0378508884241319,0.022613461236389,0.621404102294633
"IUH","eGFR_per_30","aki3_7d","psm_hc1",1069,23,18,0.236539992149635,0.0872692184307809,0.641132909085558,0.00460019722448777,-0.0326506982739434,-0.0561298679355013,-0.00917152861238547,0.00647044840532389
"IUH","eGFR_per_30","aki2_rrt_48h","psm_hc1",1235,56,90,0.669555427689517,0.408188534396052,1.0982779597467,0.112121960612322,-0.0118602315546794,-0.040136591482353,0.0164161283729942,0.411098289901309
"IUH","eGFR_per_30","aki2_rrt_7d","psm_hc1",1069,77,91,0.68833279241776,0.435543431885248,1.08784107033088,0.109723828749371,-0.0233999615673117,-0.058610635663193,0.0118107125285696,0.192866453845569
"IUH","eGFR_per_30","death_48h_all","psm_hc1",1375,12,15,0.433576566284864,0.172341467364769,1.09079168064344,0.0758356398388872,-0.00716890651064326,-0.0173374803989389,0.00299966737765235,0.167141854874093
"IUH","eGFR_per_30","death_48h_never","psm_hc1",1017,7,15,0.817038663721458,0.362975578547003,1.83911044563374,0.625448796245302,0.000138138456127509,-0.0100783742897042,0.0103546512019592,0.978860062125812
"IUH","eGFR_per_30","death_48h_censored","psm_hc1",1235,10,15,0.377519012755261,0.135223271154875,1.05396507401802,0.0629333428856432,-0.0075662847060941,-0.019104994045565,0.00397242463337676,0.198831930103601
"IUH","eGFR_per_30","death_7d_all","psm_hc1",1375,26,20,0.471782376560908,0.241970416032783,0.91985877646837,0.0274391986663257,-0.0153058490646712,-0.0284129289000724,-0.00219876922926994,0.0221666695404444
"IUH","eGFR_per_30","death_7d_never","psm_hc1",1017,18,18,0.703272313402039,0.354101001969422,1.39675387543966,0.314652022317359,-0.00661757933783972,-0.0210200855451901,0.00778492686951071,0.367924165519294
"IUH","eGFR_per_30","death_7d_censored","psm_hc1",1069,20,18,0.592781877612332,0.295637059736923,1.18858696111473,0.140680038312304,-0.0109934111728174,-0.0258753124947749,0.00388849014914009,0.147799789889769
"IUH","eGFR_per_30","hosp_mort_descriptive","psm_hc1",1375,45,40,0.401014209200025,0.238363392324217,0.674652237544882,0.000575642093051973,-0.0299510705133168,-0.0484969075019221,-0.0114052335247115,0.00156591515355309
