"db","analysis","variable_code","variable","raw_smd","smd","balance_scale"
"EICU","map_rematched","age","age",0.0694852387881654,0.0253551773381444,"PS completed-data scale"
"EICU","map_rematched","is_female","sex",0.117324049238553,0.0402260478018982,"PS completed-data scale"
"EICU","map_rematched","bmi","BMI",0.0299015778942386,0.0127330952021718,"PS completed-data scale"
"EICU","map_rematched","surg_cabg","CABG surgery",0.391776156379516,0.0691484284387546,"PS completed-data scale"
"EICU","map_rematched","surg_valve","valve surgery",0.171327388227095,0.0224665399384983,"PS completed-data scale"
"EICU","map_rematched","surg_combined","combined surgery",0.145863592656476,0.00406181167702742,"PS completed-data scale"
"EICU","map_rematched","heart_failure","heart failure",0.079303752940958,0.0310807046260699,"PS completed-data scale"
"EICU","map_rematched","hypertension","hypertension",0.171670395234277,0.0261824411974256,"PS completed-data scale"
"EICU","map_rematched","diabetes","diabetes",0.0676404148682662,0.0255456602113601,"PS completed-data scale"
"EICU","map_rematched","copd","COPD",0.0656752566138099,0.0465706295087097,"PS completed-data scale"
"EICU","map_rematched","pvd","peripheral vascular disease",0.0453837113590286,0.00209420694116018,"PS completed-data scale"
"EICU","map_rematched","stroke","stroke",0.0209031510597457,0.0167229743416946,"PS completed-data scale"
"EICU","map_rematched","liver_disease","liver disease",0.0356121306308478,0.0116520093483488,"PS completed-data scale"
"EICU","map_rematched","egfr","baseline (at ICU T0): eGFR",0.06650123533175,0.132928828178908,"PS completed-data scale"
"EICU","map_rematched","last_lactate","baseline (at ICU T0): lactate",0.404182079726392,0.228469850327096,"PS completed-data scale"
"EICU","map_rematched","last_lactate_missing","baseline (at ICU T0): lactate missing",0.33869497804672,0.051453206640592,"PS completed-data scale"
"EICU","map_rematched","last_heartrate","baseline (at ICU T0): heart rate",0.135764871088911,0.0380795715432805,"PS completed-data scale"
"EICU","map_rematched","last_hemoglobin","baseline (at ICU T0): hemoglobin",0.00527103530171713,0.0321612358359274,"PS completed-data scale"
"EICU","map_rematched","alb_cat","baseline (at ICU T0): serum albumin category",0.55650568529318,0.0669047650843292,"PS completed-data scale"
"EICU","map_rematched","surg_aortic","aortic surgery",0.160549908826495,0.00895381092111714,"PS completed-data scale"
"EICU","map_rematched","map_before_t0","baseline (at ICU T0): dual-source MAP",0.568129891088889,0.0661776836856185,"PS completed-data scale"
"EICU","map_rematched","map_missing","dual-source MAP missing",0.0106544428174915,0.270249724969272,"PS completed-data scale"
"EICU","map_rematched","map_before_t0_available_case","dual-source MAP available-case",0.56925602300663,0.0347312471776938,"available-case descriptive"
