"horizon","egfr_stratum","arm","stage","n","events","proportion"
"48h","Overall","trt","none",4690,3032,0.646481876332623
"48h","Overall","trt","stage1",4690,1411,0.300852878464819
"48h","Overall","trt","stage2",4690,202,0.0430703624733475
"48h","Overall","trt","stage3",4690,45,0.00959488272921109
"48h","Overall","ctl","none",4690,3510,0.748400852878465
"48h","Overall","ctl","stage1",4690,1028,0.219189765458422
"48h","Overall","ctl","stage2",4690,114,0.0243070362473348
"48h","Overall","ctl","stage3",4690,38,0.00810234541577825
"48h","G1","trt","none",2380,1749,0.734873949579832
"48h","G1","trt","stage1",2380,526,0.221008403361345
"48h","G1","trt","stage2",2380,88,0.0369747899159664
"48h","G1","trt","stage3",2380,17,0.00714285714285714
"48h","G1","ctl","none",2380,1736,0.729411764705882
"48h","G1","ctl","stage1",2380,555,0.233193277310924
"48h","G1","ctl","stage2",2380,65,0.0273109243697479
"48h","G1","ctl","stage3",2380,24,0.0100840336134454
"48h","G2","trt","none",1639,1015,0.61928004881025
"48h","G2","trt","stage1",1639,536,0.327028676021965
"48h","G2","trt","stage2",1639,84,0.0512507626601586
"48h","G2","trt","stage3",1639,4,0.0024405125076266
"48h","G2","ctl","none",1639,1272,0.776082977425259
"48h","G2","ctl","stage1",1639,327,0.199511897498475
"48h","G2","ctl","stage2",1639,29,0.0176937156802929
"48h","G2","ctl","stage3",1639,11,0.00671140939597315
"48h","G3plus","trt","none",671,268,0.399403874813711
"48h","G3plus","trt","stage1",671,349,0.520119225037258
"48h","G3plus","trt","stage2",671,30,0.0447093889716841
"48h","G3plus","trt","stage3",671,24,0.0357675111773472
"48h","G3plus","ctl","none",671,502,0.748137108792846
"48h","G3plus","ctl","stage1",671,146,0.217585692995529
"48h","G3plus","ctl","stage2",671,20,0.029806259314456
"48h","G3plus","ctl","stage3",671,3,0.00447093889716841
"7d","Overall","trt","none",4202,2528,0.601618277010947
"7d","Overall","trt","stage1",4202,1316,0.313184198000952
"7d","Overall","trt","stage2",4202,260,0.0618752974773917
"7d","Overall","trt","stage3",4202,98,0.0233222275107092
"7d","Overall","ctl","none",4202,2984,0.710138029509757
"7d","Overall","ctl","stage1",4202,987,0.234888148500714
"7d","Overall","ctl","stage2",4202,145,0.0345073774393146
"7d","Overall","ctl","stage3",4202,86,0.0204664445502142
"7d","G1","trt","none",2148,1460,0.679702048417132
"7d","G1","trt","stage1",2148,556,0.258845437616387
"7d","G1","trt","stage2",2148,104,0.0484171322160149
"7d","G1","trt","stage3",2148,28,0.0130353817504655
"7d","G1","ctl","none",2148,1489,0.693202979515829
"7d","G1","ctl","stage1",2148,535,0.249068901303538
"7d","G1","ctl","stage2",2148,76,0.0353817504655493
"7d","G1","ctl","stage3",2148,48,0.0223463687150838
"7d","G2","trt","none",1469,846,0.575901974132063
"7d","G2","trt","stage1",1469,482,0.328114363512594
"7d","G2","trt","stage2",1469,113,0.0769230769230769
"7d","G2","trt","stage3",1469,28,0.0190605854322668
"7d","G2","ctl","none",1469,1072,0.729748127978216
"7d","G2","ctl","stage1",1469,331,0.225323349217155
"7d","G2","ctl","stage2",1469,43,0.0292716133424098
"7d","G2","ctl","stage3",1469,23,0.0156569094622192
"7d","G3plus","trt","none",585,222,0.379487179487179
"7d","G3plus","trt","stage1",585,278,0.475213675213675
"7d","G3plus","trt","stage2",585,43,0.0735042735042735
"7d","G3plus","trt","stage3",585,42,0.0717948717948718
"7d","G3plus","ctl","none",585,423,0.723076923076923
"7d","G3plus","ctl","stage1",585,121,0.206837606837607
"7d","G3plus","ctl","stage2",585,26,0.0444444444444444
"7d","G3plus","ctl","stage3",585,15,0.0256410256410256
