"outcome","variable","importance","rank"
"aki1_48h","egfr",0.0321751088286659,1
"aki1_48h","age",0.0211704083892534,2
"aki1_48h","baseline_cr",0.0195855736390663,3
"aki1_48h","hemoglobin",0.00920622237905669,4
"aki1_48h","is_female",0.00319544012732229,5
"aki1_48h","diabetes",0.00284856022559055,6
"aki1_48h","hypertension",0.00248025127958367,7
"aki1_48h","vent_at_t0",0.00247417613618189,8
"aki1_48h","bmi",0.00233454060582083,9
"aki1_48h","alb_cat",0.00180770666276231,10
"aki1_48h","lactate",0.00172130365300977,11
"aki1_48h","map",0.001502427117195,12
"aki1_48h","surg_combined",0.00139632565921774,13
"aki1_48h","heartrate",0.00125383480453324,14
"aki1_48h","heart_failure",0.00103786012971385,15
"aki1_48h","surg_valve",0.00063732719010374,16
"aki1_48h","vaso_at_t0",0.000509697609882403,17
"aki1_48h","liver_disease",0.000287684475145891,18
"aki1_48h","surg_cabg",0.000255428714240833,19
"aki1_48h","stroke",0.000233217804909425,20
"aki1_48h","bmi_missing",0.000175242826286511,21
"aki1_48h","copd",9.12005104381318e-05,22
"aki1_48h","surg_aortic",6.12231617622468e-05,23
"aki1_48h","age_missing",0,24
"aki1_48h","egfr_missing",0,25
"aki1_48h","baseline_cr_missing",0,26
"aki1_48h","heartrate_missing",0,27
"aki1_48h","map_missing",-3.38365721087597e-06,28
"aki1_48h","pvd",-6.67033343980672e-06,29
"aki1_48h","hemoglobin_missing",-4.32647209721165e-05,30
"aki1_48h","lactate_missing",-0.000284555205550834,31
"aki1_7d","egfr",0.0306566685605814,1
"aki1_7d","age",0.0213609192441326,2
"aki1_7d","baseline_cr",0.0203622679552995,3
"aki1_7d","hemoglobin",0.0110969894251193,4
"aki1_7d","vent_at_t0",0.00455121879979961,5
"aki1_7d","is_female",0.0038930078770088,6
"aki1_7d","diabetes",0.00240904682434176,7
"aki1_7d","hypertension",0.0020928263945422,8
"aki1_7d","alb_cat",0.00205793941980348,9
"aki1_7d","heart_failure",0.00201692045318117,10
"aki1_7d","map",0.00184084943804,11
"aki1_7d","heartrate",0.00169661320166621,12
"aki1_7d","surg_combined",0.00164017306806654,13
"aki1_7d","lactate",0.00159337274889033,14
"aki1_7d","bmi",0.00139070510018582,15
"aki1_7d","vaso_at_t0",0.00138074612026046,16
"aki1_7d","surg_valve",0.000475375588963443,17
"aki1_7d","surg_cabg",0.000337209680139866,18
"aki1_7d","copd",0.000303738976437786,19
"aki1_7d","bmi_missing",0.000273378145067936,20
"aki1_7d","liver_disease",0.000229135910316186,21
"aki1_7d","stroke",5.81781270308674e-05,22
"aki1_7d","surg_aortic",5.78363428871966e-05,23
"aki1_7d","age_missing",0,24
"aki1_7d","egfr_missing",0,25
"aki1_7d","baseline_cr_missing",0,26
"aki1_7d","heartrate_missing",0,27
"aki1_7d","pvd",-8.5244475955798e-07,28
"aki1_7d","map_missing",-3.80329017481235e-06,29
"aki1_7d","hemoglobin_missing",-4.18876801849569e-05,30
"aki1_7d","lactate_missing",-0.000171788857006292,31
