"modifier","source"
"alb_cat","pre_registered"
"baseline_cr","pre_registered"
"age","step1_statistical_survivor"
"hemoglobin","step1_statistical_survivor"
"map","step1_statistical_survivor"
"heart_failure","step1_statistical_survivor"
"diabetes","step1_statistical_survivor"
"hypertension","step1_statistical_survivor"
"ckd","step1_statistical_survivor"
"surg_cabg","step1_statistical_survivor"
"surg_combined","step1_statistical_survivor"
"vent_at_t0","step1_statistical_survivor"
"sex","step1_statistical_survivor"
"vaso_at_t0","step1_statistical_survivor"
