"db","cut","population","n","albumin_measured_n","albumin_measured_prevalence","low_n","low_prevalence_all","low_prevalence_measured"
"MIMIC",3.5,"overall",12660,5171,0.408451816745656,1035,0.0817535545023697,0.200154708953781
"MIMIC",3.5,"treated_source",5771,2739,0.474614451568186,621,0.107607000519841,0.226725082146769
"MIMIC",3.5,"control_source",6889,2432,0.353026564087676,414,0.0600958049063725,0.170230263157895
"MIMIC",3.5,"treated_eligible",5428,2514,0.463154016212233,493,0.090825350036846,0.196101829753381
"MIMIC",3.5,"matched_treated",5428,2514,0.463154016212233,493,0.090825350036846,0.196101829753381
"MIMIC",3.5,"matched_control",5428,2941,0.541820191599116,994,0.183124539425203,0.337980278816729
"MIMIC",3,"overall",12660,5171,0.408451816745656,453,0.035781990521327,0.0876039450783214
"MIMIC",3,"treated_source",5771,2739,0.474614451568186,297,0.0514642176399238,0.108433734939759
"MIMIC",3,"control_source",6889,2432,0.353026564087676,156,0.0226447960516766,0.0641447368421053
"MIMIC",3,"treated_eligible",5428,2514,0.463154016212233,213,0.039240972733972,0.0847255369928401
"MIMIC",3,"matched_treated",5427,2513,0.463055094895891,212,0.039063939561452,0.0843613211301234
"MIMIC",3,"matched_control",5427,2954,0.544315459738345,619,0.114059332964806,0.209546377792823
"MIMIC",2.5,"overall",12660,5171,0.408451816745656,196,0.0154818325434439,0.0379036936762715
"MIMIC",2.5,"treated_source",5771,2739,0.474614451568186,138,0.0239126667821868,0.0503833515881709
"MIMIC",2.5,"control_source",6889,2432,0.353026564087676,58,0.00841921904485412,0.0238486842105263
"MIMIC",2.5,"treated_eligible",5428,2514,0.463154016212233,89,0.0163964627855564,0.0354017501988862
"MIMIC",2.5,"matched_treated",5428,2514,0.463154016212233,89,0.0163964627855564,0.0354017501988862
"MIMIC",2.5,"matched_control",5428,3026,0.557479734708917,303,0.0558216654384672,0.100132187706543
